movie_id,rated
6529,Not Rated
6597,R
6674,R
6555,R
8395,R
7153,Not Rated
6743,R
6954,R
7283,PG-13
6970,R
6531,R
6547,R
6818,Not Rated
7228,PG
7184,PG
6895,PG
7237,PG
6639,PG-13
7051,R
6592,R
7626,R
6978,Not Rated
6812,TV-PG
8107,TV-PG
6783,R
6852,PG
6882,R
7052,Not Rated
7842,PG-13
8475,PG-13
7560,R
6627,R
6530,PG-13
6742,R
6432,R
7013,PG-13
6955,PG-13
8291,PG-13
6942,R
6729,R
6695,G
6534,PG-13
6498,Not Rated
6700,Not Rated
6806,PG-13
7225,R
6821,PG-13
8643,PG-13
6932,Unrated
6489,PG-13
6993,PG-13
7341,PG-13
6659,PG-13
6761,Not Rated
6717,Not Rated
7078,R
6663,PG-13
7243,PG
6672,R
6734,R
6665,Not Rated
7122,PG
7262,PG-13
7431,PG-13
7334,R
6753,PG-13
7162,R
7730,PG-13
6693,R
7117,Not Rated
7434,PG-13
6561,PG
6835,Not Rated
7214,PG-13
6838,R
6689,PG-13
6836,PG
7645,R
6779,G
6867,R
8408,N/A
6773,PG-13
6644,R
7253,PG
7345,R
7520,PG-13
7582,PG
6765,PG
6817,PG-13
7369,PG-13
6732,R
6910,PG-13
6668,R
7836,PG-13
6824,R
6787,Unrated
7091,PG
7115,R
6929,PG-13
7335,PG-13
6726,R
7059,Not Rated
7433,PG-13
7355,PG
6759,PG-13
7580,PG
6834,TV-PG
7286,R
6832,PG-13
6810,Not Rated
7044,PG-13
7102,PG-13
6746,PG-13
6552,PG
6632,N/A
6585,PG-13
6933,Unrated
7380,PG-13
7235,Not Rated
7447,PG-13
8069,R
6754,PG-13
6640,Not Rated
8112,TV-MA
7000,R
7029,R
6702,Unrated
7015,Not Rated
6684,TV-MA
6679,R
6869,PG-13
7333,PG
6613,PG-13
6833,PG
6769,R
7620,PG-13
6784,R
7305,R
7255,PG-13
6905,PG-13
6802,R
7510,PG-13
7161,PG
6958,Not Rated
6795,PG
6789,N/A
7193,R
7227,R
6731,PG-13
7036,R
8327,PG-13
6863,R
7276,R
7339,Not Rated
6968,PG-13
6634,PG-13
6612,PG-13
6881,Not Rated
6842,PG-13
7793,R
6837,R
7299,PG-13
6448,TV-MA
7308,PG
6736,PG
6760,R
8417,PG-13
6798,R
7382,R
6778,R
6999,PG-13
6953,R
6497,Not Rated
6588,PG-13
7587,R
6667,PG-13
7023,R
6843,R
7676,R
7419,PG-13
7112,R
7129,R
7173,PG-13
6951,PG-13
6811,R
7553,Not Rated
7814,R
6652,R
7136,R
6952,PG-13
6988,PG-13
6848,PG-13
6673,PG
7865,PG
7295,R
6937,PG
8572,PG
7177,R
7660,PG
6862,R
6703,Not Rated
6780,Not Rated
6871,Not Rated
6977,PG-13
7312,PG-13
6790,TV-G
7628,Unrated
7094,PG-13
7042,PG-13
6756,PG-13
6949,PG
6591,PG-13
6772,Not Rated
8206,R
7072,PG
7457,PG-13
7297,Unrated
7559,PG-13
6797,PG-13
6826,PG-13
6831,PG-13
7038,Not Rated
7651,PG-13
6599,PG-13
7652,TV-14
7750,PG-13
6987,PG
7231,PG-13
6491,R
7692,PG-13
6692,R
6966,PG-13
6927,PG
7050,PG-13
6963,PG
6774,R
6705,R
6941,PG-13
6763,R
7034,Not Rated
7982,Not Rated
8185,PG-13
7033,Not Rated
8079,R
6901,R
7409,R
6995,R
7614,PG-13
6707,G
6496,Not Rated
6902,PG
8103,R
6629,N/A
6946,PG
7079,R
7045,R
6904,PG
6803,PG-13
8294,R
7252,R
7217,PG-13
6868,R
6917,R
7362,PG
7693,PG-13
6950,R
6655,R
7211,Not Rated
6793,R
7608,N/A
7581,Not Rated
6706,Not Rated
6859,PG
7323,R
6719,R
7395,Not Rated
6814,TV-PG
6943,R
7799,Unrated
7216,R
8339,PG-13
6914,R
7549,R
6894,PG-13
6828,R
8333,PG-13
7372,PG-13
7338,PG-13
6936,PG-13
6918,R
6989,PG-13
7009,R
6807,PG
6804,PG-13
7058,PG
7020,R
7144,R
6908,R
7019,R
